timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739685020.882,-69.336,-45.410,-39.062,-25.879,0.000,CFM
1739685020.886,-74.707,-43.457,-36.621,-12.207,0.000,CFM
1739685020.889,-76.660,-45.410,-43.457,-12.695,0.000,CFM
1739685020.893,-77.148,-44.922,-43.945,-19.531,0.000,CFM
1739685020.897,-76.172,-45.410,-44.434,-25.879,0.000,CFM
1739685020.901,-84.961,-51.758,-48.340,-32.227,0.000,CFM
1739685020.905,-86.426,-55.176,-49.805,-34.668,0.000,CFM
1739685020.909,-94.238,-52.734,-47.363,-42.969,0.000,CFM
1739685020.913,-118.164,-50.781,-44.922,-45.898,0.000,CFM
1739685020.917,-103.516,-50.781,-46.875,-38.086,0.000,CFM
1739685020.921,-77.148,-51.270,-48.828,-36.133,0.000,CFM
1739685020.925,-70.312,-48.828,-46.387,-35.156,0.000,CFM
1739685020.929,-57.129,-44.922,-44.922,-29.785,0.000,CFM
1739685020.932,-44.922,-42.480,-41.992,-20.996,0.000,CFM
1739685020.936,-39.551,-49.316,-42.480,-21.484,0.000,CFM
1739685020.940,-42.969,-54.688,-46.875,-30.762,0.000,CFM
1739685020.944,-43.945,-52.734,-41.992,-30.273,0.000,CFM
1739685020.948,-38.574,-53.711,-40.039,-25.391,0.000,CFM
1739685020.952,-35.156,-54.199,-41.992,-22.949,0.000,CFM
1739685020.956,-36.621,-50.293,-38.574,-22.949,0.000,CFM
1739685020.960,-35.156,-50.293,-32.715,-20.020,0.000,CFM
1739685020.964,-32.227,-52.246,-36.133,-16.113,0.000,CFM
1739685020.968,-28.809,-53.223,-38.086,-17.090,0.000,CFM
1739685020.971,-26.367,-58.594,-34.668,-15.625,0.000,CFM
1739685020.975,-27.832,-59.082,-37.598,-15.137,0.000,CFM
1739685020.979,-29.297,-60.547,-38.574,-17.090,0.000,CFM
1739685020.983,-27.832,-63.965,-37.598,-20.996,0.000,CFM
1739685020.987,-26.367,-62.500,-36.133,-28.320,0.000,CFM
1739685020.991,-25.879,-62.012,-33.691,-26.855,0.000,CFM
1739685020.995,-24.414,-64.453,-39.062,-23.438,0.000,CFM
1739685020.999,-26.855,-60.059,-39.551,-21.973,0.000,CFM
1739685021.003,-26.855,-57.617,-37.109,-25.391,0.000,CFM
1739685021.007,-23.926,-59.570,-36.133,-29.297,0.000,CFM
1739685021.010,-22.461,-58.105,-36.621,-27.344,0.000,CFM
1739685021.014,-29.785,-52.734,-36.133,-30.273,0.000,CFM
1739685021.018,-31.250,-46.875,-34.668,-36.621,0.000,CFM
1739685021.022,-25.391,-46.387,-35.645,-33.691,0.000,CFM
1739685021.026,-25.879,-47.363,-36.621,-32.227,0.000,CFM
1739685021.030,-25.879,-48.340,-36.133,-31.250,0.000,CFM
1739685021.034,-16.113,-52.246,-34.180,-25.879,0.000,CFM
1739685021.038,-17.578,-54.199,-37.598,-28.320,0.000,CFM
1739685021.042,-48.828,-55.176,-41.504,-40.039,0.000,CFM
1739685021.046,-71.289,-51.270,-35.645,-46.387,0.000,CFM
1739685021.050,-82.520,-48.828,-31.250,-49.316,0.000,CFM
1739685021.053,-89.355,-48.828,-32.227,-44.922,0.000,CFM
1739685021.057,-87.891,-47.363,-29.785,-35.645,0.000,CFM
1739685021.061,-85.938,-43.457,-30.273,-38.086,0.000,CFM
1739685021.065,-86.914,-46.875,-35.156,-41.504,0.000,CFM
1739685021.069,-83.008,-51.270,-34.668,-35.645,0.000,CFM
1739685021.073,-87.402,-55.176,-35.156,-33.203,0.000,CFM
1739685021.077,-89.355,-56.641,-39.551,-33.203,0.000,CFM
1739685021.081,-66.406,-54.199,-38.574,-35.156,0.000,CFM
1739685021.085,-44.922,-56.641,-39.551,-34.180,0.000,CFM
1739685021.089,-35.156,-61.035,-39.551,-31.250,0.000,CFM
1739685021.093,-34.180,-57.129,-33.691,-36.621,0.000,CFM
1739685021.096,-28.809,-50.293,-32.715,-39.062,0.000,CFM
1739685021.100,-26.367,-56.641,-39.551,-30.273,0.000,CFM
1739685021.104,-27.344,-52.734,-37.109,-28.320,0.000,CFM
1739685021.108,-34.180,-48.340,-33.203,-31.738,0.000,CFM
1739685021.112,-58.105,-56.641,-35.156,-27.832,0.000,CFM
1739685021.116,-72.266,-59.082,-37.109,-23.438,0.000,CFM
1739685021.120,-83.496,-51.270,-36.133,-20.508,0.000,CFM
1739685021.124,-87.402,-48.340,-36.621,-23.438,0.000,CFM
1739685021.128,-57.617,-49.805,-35.645,-25.391,0.000,CFM
1739685021.132,-29.785,-47.363,-31.738,-16.113,0.000,CFM
1739685021.135,-20.020,-50.781,-31.738,-13.184,0.000,CFM
1739685021.139,-10.742,-51.270,-30.762,-15.625,0.000,CFM
