timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739683699.096,-40.039,-64.453,-41.992,-30.762,0.000,dhp
1739683699.100,-35.645,-61.523,-39.062,-32.715,0.000,dhp
1739683699.104,-40.039,-61.523,-34.180,-27.832,0.000,dhp
1739683699.108,-41.504,-65.918,-33.691,-31.250,0.000,dhp
1739683699.112,-34.180,-72.754,-36.133,-33.691,0.000,dhp
1739683699.116,-28.809,-76.172,-39.062,-25.879,0.000,dhp
1739683699.120,-39.062,-77.637,-37.598,-24.902,0.000,dhp
1739683699.124,-40.527,-77.148,-38.574,-32.227,0.000,dhp
1739683699.127,-32.715,-81.055,-41.504,-30.762,0.000,dhp
1739683699.131,-38.086,-83.496,-38.086,-25.391,0.000,dhp
1739683699.135,-46.387,-81.543,-37.109,-34.180,0.000,dhp
1739683699.139,-43.945,-86.914,-44.922,-33.691,0.000,dhp
1739683699.143,-36.621,-84.961,-44.922,-25.391,0.000,dhp
1739683699.147,-48.340,-79.102,-36.621,-23.438,0.000,dhp
1739683699.151,-49.316,-78.125,-32.715,-18.066,0.000,dhp
1739683699.155,-39.062,-77.637,-34.180,-18.555,0.000,dhp
1739683699.159,-33.691,-73.242,-32.227,-23.926,0.000,dhp
1739683699.163,-28.809,-70.801,-28.320,-15.625,0.000,dhp
1739683699.167,-31.738,-71.777,-33.691,-14.648,0.000,dhp
1739683699.170,-21.484,-76.660,-38.574,-17.578,0.000,dhp
1739683699.174,-15.137,-81.543,-38.574,-7.324,0.000,dhp
1739683699.178,-32.227,-77.637,-36.621,-11.230,0.000,dhp
1739683699.182,-41.992,-76.172,-38.086,-24.902,0.000,dhp
1739683699.186,-29.785,-83.496,-39.062,-15.625,0.000,dhp
1739683699.190,-24.902,-88.867,-45.410,-2.441,0.000,dhp
1739683699.194,-32.227,-85.449,-51.758,-7.812,0.000,dhp
1739683699.198,-27.344,-80.566,-50.781,2.930,0.000,dhp
1739683699.202,-20.508,-75.684,-42.480,12.207,0.000,dhp
1739683699.206,-19.043,-78.125,-41.016,10.742,0.000,dhp
