timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739684521.270,-11.719,-33.203,-31.250,-19.043,0.000,FBH
1739684521.274,-11.719,-32.227,-34.180,-23.438,0.000,FBH
1739684521.278,-26.367,-33.203,-33.203,-22.461,0.000,FBH
1739684521.282,-42.969,-40.039,-37.598,-34.180,0.000,FBH
1739684521.285,-50.293,-41.504,-39.551,-38.086,0.000,FBH
1739684521.289,-54.199,-29.785,-33.203,-24.902,0.000,FBH
1739684521.293,-66.406,-31.738,-33.203,-36.621,0.000,FBH
1739684521.297,-58.105,-41.016,-33.691,-46.387,0.000,FBH
1739684521.301,-54.688,-44.434,-34.180,-41.992,0.000,FBH
1739684521.305,-63.965,-39.551,-30.762,-53.223,0.000,FBH
1739684521.309,-57.129,-36.133,-28.809,-56.152,0.000,FBH
1739684521.313,-46.875,-38.574,-32.227,-43.945,0.000,FBH
1739684521.317,-32.227,-37.109,-34.180,-38.086,0.000,FBH
1739684521.321,-38.086,-36.621,-34.180,-47.363,0.000,FBH
1739684521.324,-56.152,-37.109,-37.109,-54.688,0.000,FBH
1739684521.328,-60.547,-37.109,-37.109,-43.945,0.000,FBH
1739684521.332,-59.570,-40.527,-31.250,-36.621,0.000,FBH
1739684521.336,-56.152,-45.410,-37.109,-44.434,0.000,FBH
1739684521.340,-49.316,-48.340,-42.969,-47.852,0.000,FBH
1739684521.344,-34.668,-49.805,-42.969,-40.039,0.000,FBH
1739684521.348,-24.414,-39.551,-37.598,-30.762,0.000,FBH
1739684521.352,-25.391,-35.156,-23.926,-25.391,0.000,FBH
1739684521.356,-29.297,-47.852,-20.996,-9.277,0.000,FBH
1739684521.360,-18.066,-44.434,-26.367,-11.719,0.000,FBH
1739684521.364,-29.297,-31.250,-25.879,-26.367,0.000,FBH
1739684521.367,-50.781,-34.668,-27.832,-30.273,0.000,FBH
1739684521.371,-39.062,-45.410,-33.691,-33.203,0.000,FBH
1739684521.375,-23.438,-41.992,-37.109,-32.227,0.000,FBH
1739684521.379,-11.719,-33.203,-39.551,-41.992,0.000,FBH
1739684521.383,-2.930,-33.203,-38.086,-39.551,0.000,FBH
1739684521.387,1.465,-35.156,-34.668,-28.320,0.000,FBH
1739684521.391,0.488,-32.227,-35.156,-28.809,0.000,FBH
1739684521.395,-17.090,-23.926,-31.738,-46.387,0.000,FBH
1739684521.399,-29.297,-27.344,-30.273,-43.457,0.000,FBH
1739684521.403,-28.320,-31.250,-33.203,-38.574,0.000,FBH
1739684521.406,-26.367,-31.250,-29.297,-58.105,0.000,FBH
1739684521.410,-27.344,-35.156,-23.438,-52.246,0.000,FBH
1739684521.414,-23.438,-37.109,-32.715,-43.457,0.000,FBH
1739684521.418,-20.020,-36.621,-43.945,-41.504,0.000,FBH
1739684521.422,-1.953,-32.715,-39.062,-35.645,0.000,FBH
1739684521.426,7.812,-24.902,-34.668,-26.367,0.000,FBH
1739684521.430,3.906,-23.438,-34.180,-12.207,0.000,FBH
1739684521.434,12.207,-20.996,-34.180,-5.371,0.000,FBH
1739684521.438,7.812,-14.160,-32.715,-12.207,0.000,FBH
1739684521.442,0.000,-15.137,-32.227,-24.414,0.000,FBH
1739684521.446,-7.812,-22.461,-34.180,-15.625,0.000,FBH
1739684521.449,-11.230,-24.902,-31.738,-15.137,0.000,FBH
1739684521.453,-11.719,-29.785,-29.785,-21.484,0.000,FBH
1739684521.457,-17.578,-37.109,-27.832,-19.043,0.000,FBH
1739684521.461,-14.160,-43.945,-32.715,-20.020,0.000,FBH
1739684521.465,-15.137,-36.133,-29.785,-19.043,0.000,FBH
1739684521.469,-13.672,-29.785,-30.273,-16.113,0.000,FBH
1739684521.473,1.465,-27.344,-34.180,-0.488,0.000,FBH
1739684521.477,10.742,-24.902,-33.203,7.812,0.000,FBH
1739684521.481,13.672,-32.227,-38.086,-5.371,0.000,FBH
1739684521.485,6.836,-34.668,-39.551,-22.949,0.000,FBH
1739684521.488,-5.859,-36.133,-42.480,-26.367,0.000,FBH
1739684521.492,-5.859,-39.551,-41.992,-22.949,0.000,FBH
1739684521.496,-9.766,-39.551,-36.621,-34.180,0.000,FBH
1739684521.500,-16.113,-36.133,-35.645,-42.969,0.000,FBH
1739684521.504,-7.812,-32.715,-34.668,-39.551,0.000,FBH
1739684521.508,-20.508,-35.645,-32.715,-26.367,0.000,FBH
1739684521.512,-33.203,-35.156,-29.297,-24.902,0.000,FBH
1739684521.516,-33.203,-31.738,-33.203,-27.832,0.000,FBH
1739684521.520,-32.715,-31.250,-36.133,-22.949,0.000,FBH
1739684521.524,-21.973,-31.250,-38.086,-9.766,0.000,FBH
1739684521.528,-12.207,-28.809,-36.621,-7.812,0.000,FBH
1739684521.531,0.488,-29.297,-36.621,-17.090,0.000,FBH
1739684521.535,-4.883,-30.273,-42.480,-10.254,0.000,FBH
1739684521.539,-5.859,-31.250,-42.969,-8.789,0.000,FBH
1739684521.543,-3.418,-29.297,-38.086,-7.812,0.000,FBH
1739684521.547,-12.207,-27.832,-34.668,-5.859,0.000,FBH
1739684521.551,-10.742,-27.344,-33.691,-8.789,0.000,FBH
1739684521.555,-5.371,-28.809,-32.715,-17.578,0.000,FBH
1739684521.559,-13.672,-32.227,-26.367,-23.438,0.000,FBH
1739684521.563,-27.344,-30.762,-22.461,-25.391,0.000,FBH
1739684521.567,-23.438,-29.785,-27.832,-32.227,0.000,FBH
1739684521.570,-20.020,-32.227,-32.227,-31.738,0.000,FBH
1739684521.574,-14.648,-27.344,-32.227,-34.180,0.000,FBH
1739684521.578,-14.648,-33.203,-34.668,-45.410,0.000,FBH
1739684521.582,-27.832,-45.410,-36.133,-47.852,0.000,FBH
1739684521.586,-30.273,-39.551,-31.738,-50.293,0.000,FBH
1739684521.590,-39.062,-38.086,-25.879,-62.500,0.000,FBH
1739684521.594,-47.363,-40.039,-30.273,-69.336,0.000,FBH
1739684521.598,-47.363,-39.551,-36.133,-70.801,0.000,FBH
1739684521.602,-49.805,-47.852,-39.062,-67.871,0.000,FBH
1739684521.606,-30.273,-43.945,-37.598,-54.199,0.000,FBH
1739684521.610,-24.902,-34.180,-34.180,-42.480,0.000,FBH
1739684521.613,-36.133,-35.645,-38.574,-48.340,0.000,FBH
1739684521.617,-31.250,-41.504,-42.480,-39.551,0.000,FBH
1739684521.621,-27.832,-38.574,-41.016,-28.320,0.000,FBH
