timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739682959.087,-36.621,-38.574,-41.016,-43.945,0.000,null
1739682959.091,-33.691,-42.480,-40.527,-41.992,0.000,null
1739682959.095,-30.762,-45.410,-43.945,-39.062,0.000,null
1739682959.099,-27.344,-44.434,-46.875,-33.691,0.000,null
1739682959.103,-18.066,-41.992,-46.387,-30.762,0.000,null
1739682959.107,-15.137,-46.387,-41.504,-23.926,0.000,null
1739682959.111,-16.113,-51.758,-30.762,-18.555,0.000,null
1739682959.115,-14.160,-52.246,-23.926,-15.137,0.000,null
1739682959.119,-13.184,-54.199,-31.250,-10.742,0.000,null
1739682959.122,-15.137,-53.711,-41.504,-16.602,0.000,null
1739682959.126,-29.785,-52.734,-40.039,-21.973,0.000,null
1739682959.130,-34.668,-52.246,-38.086,-29.785,0.000,null
1739682959.134,-32.227,-42.480,-46.875,-35.645,0.000,null
1739682959.138,-32.227,-34.180,-49.805,-30.762,0.000,null
1739682959.142,-30.273,-37.109,-42.969,-27.832,0.000,null
1739682959.146,-32.227,-47.363,-37.598,-25.879,0.000,null
1739682959.150,-25.879,-47.363,-34.668,-23.438,0.000,null
1739682959.154,-30.273,-47.363,-29.297,-25.879,0.000,null
1739682959.157,-33.203,-50.781,-26.367,-29.785,0.000,null
1739682959.161,-29.297,-45.410,-27.344,-24.902,0.000,null
1739682959.165,-30.273,-45.410,-37.598,-33.691,0.000,null
1739682959.169,-34.180,-40.039,-44.922,-40.039,0.000,null
1739682959.173,-43.457,-36.621,-47.852,-40.527,0.000,null
1739682959.177,-30.273,-41.016,-47.852,-39.551,0.000,null
1739682959.181,-25.391,-33.691,-43.945,-39.551,0.000,null
1739682959.185,-46.387,-36.133,-41.504,-48.828,0.000,null
1739682959.189,-45.898,-43.457,-41.504,-50.781,0.000,null
1739682959.192,-35.156,-44.434,-36.621,-44.922,0.000,null
1739682959.196,-40.527,-47.852,-37.598,-40.527,0.000,null
1739682959.200,-39.551,-48.340,-44.434,-41.992,0.000,null
