timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739684040.986,-31.738,-53.223,-41.992,-27.344,0.000,sab
1739684040.990,-26.367,-54.199,-40.527,-25.391,0.000,sab
1739684040.994,-27.344,-52.734,-36.133,-18.066,0.000,sab
1739684040.998,-20.508,-53.711,-35.645,-18.066,0.000,sab
1739684041.002,-17.578,-50.781,-38.086,-15.625,0.000,sab
1739684041.006,-5.859,-50.293,-33.691,-8.789,0.000,sab
1739684041.010,4.395,-52.246,-29.785,-16.602,0.000,sab
1739684041.014,3.418,-55.176,-34.668,-18.066,0.000,sab
1739684041.018,8.789,-47.363,-30.762,-6.836,0.000,sab
1739684041.022,7.324,-35.645,-19.043,-12.207,0.000,sab
1739684041.025,4.395,-37.598,-19.043,-12.207,0.000,sab
1739684041.029,7.324,-40.527,-26.855,-6.836,0.000,sab
1739684041.033,8.789,-40.039,-26.367,-9.277,0.000,sab
1739684041.037,-1.953,-35.156,-22.461,-9.277,0.000,sab
1739684041.041,-9.766,-36.621,-25.879,-7.324,0.000,sab
1739684041.045,-8.301,-43.945,-27.344,-8.789,0.000,sab
1739684041.049,-11.230,-47.363,-23.438,0.000,0.000,sab
1739684041.053,-6.836,-44.922,-25.391,10.742,0.000,sab
1739684041.057,7.324,-42.969,-29.297,20.508,0.000,sab
1739684041.061,1.953,-48.340,-29.297,30.273,0.000,sab
1739684041.065,-5.371,-49.805,-24.414,32.227,0.000,sab
1739684041.068,0.488,-43.945,-23.926,39.062,0.000,sab
1739684041.072,0.000,-42.969,-29.785,36.621,0.000,sab
1739684041.076,-5.859,-41.016,-28.809,26.367,0.000,sab
1739684041.080,-11.719,-36.133,-27.832,21.484,0.000,sab
1739684041.084,-11.230,-37.598,-26.367,21.973,0.000,sab
1739684041.088,-8.301,-38.574,-29.297,27.832,0.000,sab
1739684041.092,-7.812,-40.039,-31.250,22.949,0.000,sab
1739684041.096,-8.789,-43.945,-28.809,13.672,0.000,sab
1739684041.100,-17.578,-45.898,-27.832,14.648,0.000,sab
1739684041.104,-23.438,-50.293,-32.227,13.184,0.000,sab
1739684041.107,-24.414,-51.758,-38.086,8.301,0.000,sab
1739684041.111,-22.461,-44.922,-32.227,1.953,0.000,sab
1739684041.115,-13.672,-46.875,-29.785,-4.883,0.000,sab
1739684041.119,-10.254,-48.828,-30.273,-7.812,0.000,sab
1739684041.123,-13.184,-46.387,-28.320,-12.207,0.000,sab
1739684041.127,-22.949,-45.410,-31.250,-19.531,0.000,sab
1739684041.131,-28.320,-49.316,-33.691,-15.625,0.000,sab
1739684041.135,-22.949,-54.688,-36.133,-5.859,0.000,sab
1739684041.139,-35.156,-53.711,-38.574,-18.066,0.000,sab
1739684041.143,-50.293,-50.781,-39.551,-28.320,0.000,sab
1739684041.147,-46.387,-50.293,-37.598,-26.367,0.000,sab
1739684041.150,-43.457,-53.223,-37.598,-20.020,0.000,sab
1739684041.154,-40.527,-48.340,-35.645,-22.461,0.000,sab
1739684041.158,-40.039,-46.875,-29.785,-31.738,0.000,sab
1739684041.162,-39.551,-52.734,-33.203,-34.180,0.000,sab
1739684041.166,-39.062,-44.922,-32.227,-38.086,0.000,sab
1739684041.170,-42.969,-40.039,-30.273,-41.992,0.000,sab
1739684041.174,-42.969,-41.992,-37.109,-49.805,0.000,sab
1739684041.178,-36.133,-41.016,-40.039,-48.340,0.000,sab
1739684041.182,-25.391,-43.457,-40.039,-41.504,0.000,sab
1739684041.186,-21.484,-40.527,-36.133,-30.273,0.000,sab
1739684041.189,-21.484,-35.156,-35.156,-33.203,0.000,sab
1739684041.193,-22.949,-35.156,-34.180,-35.156,0.000,sab
1739684041.197,-25.879,-37.109,-35.156,-33.203,0.000,sab
1739684041.201,-31.250,-34.668,-31.738,-34.668,0.000,sab
1739684041.205,-31.250,-35.645,-30.762,-37.109,0.000,sab
